,kinetics_class,original_score,perturbated_score
220,playing basketball,8.291493e-09,1.38973e-09
221,playing bass guitar,2.8654659e-11,8.173845e-12
222,playing cards,1.0156299e-11,8.906145e-12
223,playing cello,1.423486e-09,1.3304668e-10
224,playing chess,7.127276e-10,1.9711842e-10
225,playing clarinet,2.0139528e-09,8.450045e-11
226,playing controller,2.4619957e-12,4.460968e-12
227,playing cricket,1.25911805e-08,9.422899e-10
228,playing cymbals,1.6818998e-12,2.3183767e-11
229,playing didgeridoo,1.0032681e-09,3.9639367e-09
230,playing drums,7.521499e-11,1.3439173e-11
231,playing flute,1.0106896e-09,3.552062e-10
232,playing guitar,2.7888675e-10,1.312077e-11
233,playing harmonica,4.4804813e-09,8.600948e-10
234,playing harp,5.570572e-10,1.4397258e-09
235,playing ice hockey,2.507176e-08,1.4394911e-07
236,playing keyboard,4.3883813e-11,5.0401996e-12
237,playing kickball,5.30332e-08,1.2842378e-07
238,playing monopoly,2.8676202e-11,1.9087842e-11
239,playing organ,8.025579e-12,5.236889e-13
240,playing paintball,9.138043e-08,2.8743347e-08
241,playing piano,7.1093575e-09,2.2392888e-09
242,playing poker,1.7583313e-12,1.0108683e-12
243,playing recorder,3.7125516e-09,5.325304e-10
244,playing saxophone,9.729613e-10,9.935458e-10
245,playing squash or racquetball,1.466996e-08,2.092777e-08
246,playing tennis,1.7953444e-09,3.133064e-10
247,playing trombone,1.0324875e-08,2.764247e-08
248,playing trumpet,2.911619e-10,1.7452567e-10
249,playing ukulele,1.5054894e-09,5.4232874e-10
250,playing violin,8.020557e-09,2.3593751e-09
251,playing volleyball,3.0289753e-09,1.1845984e-08
252,playing xylophone,2.0775844e-10,1.254892e-12
253,pole vault,8.593661e-10,2.2000593e-10
254,presenting weather forecast,6.322448e-12,1.0008274e-11
255,pull ups,6.32319e-10,1.0595031e-10
256,pumping fist,1.6898424e-08,2.3543314e-09
257,pumping gas,1.3146066e-10,4.1410812e-11
258,punching bag,1.2900883e-09,1.1723209e-09
259,punching person (boxing),3.8864148e-11,2.2065437e-10
260,push up,1.0964149e-10,1.10592325e-11
261,pushing car,3.983811e-07,1.6743182e-07
262,pushing cart,4.7806166e-06,1.0720721e-06
263,pushing wheelchair,2.2242577e-06,1.6476514e-07
264,reading book,1.4381019e-10,1.5050852e-10
265,reading newspaper,4.507761e-11,7.8947925e-11
266,recording music,1.3833316e-09,1.1845702e-10
267,riding a bike,1.722521e-08,5.2905286e-10
268,riding camel,6.6071006e-09,7.646607e-09
269,riding elephant,3.1754528e-09,2.9544733e-10
270,riding mechanical bull,7.0448847e-10,1.1054294e-08
271,riding mountain bike,3.8663578e-10,2.3751532e-11
272,riding mule,2.2740151e-07,6.509019e-08
273,riding or walking with horse,7.77425e-07,1.495487e-07
274,riding scooter,1.87639e-06,1.7441139e-06
275,riding unicycle,1.5132554e-07,1.356657e-07
276,ripping paper,4.9182555e-13,1.9457105e-12
277,robot dancing,1.669776e-08,1.3185207e-09
278,rock climbing,1.3595727e-09,4.4842468e-09
279,rock scissors paper,4.8155587e-11,2.7556976e-12
280,roller skating,3.4094016e-06,2.0186888e-05
281,running on treadmill,2.9588556e-08,6.3265766e-09
282,sailing,2.4062172e-11,9.0516356e-10
283,salsa dancing,7.2385065e-10,8.1438705e-09
284,sanding floor,4.0342583e-09,3.5498676e-10
285,scrambling eggs,2.3684821e-08,3.7582737e-09
286,scuba diving,4.517403e-10,1.1602889e-08
287,setting table,4.1792325e-09,1.411887e-09
288,shaking hands,6.4130345e-10,5.409421e-11
289,shaking head,6.141272e-10,5.839515e-11
290,sharpening knives,4.327758e-12,2.0429983e-13
291,sharpening pencil,5.959601e-12,2.6511483e-13
292,shaving head,5.6552398e-11,2.880274e-11
293,shaving legs,1.2191134e-12,8.1681835e-13
294,shearing sheep,1.1478967e-09,1.038321e-10
295,shining shoes,4.543175e-12,1.782841e-11
296,shooting basketball,3.8864836e-10,1.1850605e-10
297,shooting goal (soccer),6.603044e-09,2.0486879e-09
298,shot put,1.2423038e-10,3.8412495e-11
299,shoveling snow,1.06759984e-07,2.94406e-05
300,shredding paper,5.145237e-11,3.2264165e-12
301,shuffling cards,1.797083e-11,3.8572015e-12
302,side kick,1.248482e-10,1.7829169e-10
303,sign language interpreting,1.3961409e-11,1.0000197e-12
304,singing,4.667297e-09,4.086112e-11
305,situp,5.429462e-10,1.5491401e-10
306,skateboarding,1.6079197e-08,8.438787e-07
307,ski jumping,1.3788211e-10,6.536686e-09
308,skiing (not slalom or crosscountry),2.7499841e-11,6.114675e-10
309,skiing crosscountry,1.0840175e-10,1.0777147e-09
310,skiing slalom,1.2723846e-11,1.6500139e-10
311,skipping rope,6.784656e-11,6.5220954e-11
312,skydiving,1.007648e-10,1.4890877e-08
313,slacklining,2.8504958e-08,4.5287564e-08
314,slapping,3.9772092e-09,2.2032898e-09
315,sled dog racing,2.3698548e-09,1.7383194e-07
316,smoking,5.1278665e-11,5.123579e-11
317,smoking hookah,1.697593e-11,6.101938e-11
318,snatch weight lifting,4.303806e-11,2.2918813e-12
319,sneezing,3.9844356e-10,4.183618e-11
320,sniffing,2.0782305e-10,7.7997345e-11
321,snorkeling,1.4626459e-08,9.848212e-07
322,snowboarding,3.89587e-11,2.2691177e-06
323,snowkiting,8.2101155e-13,1.8307324e-08
324,snowmobiling,8.9014726e-11,1.7317298e-08
325,somersaulting,2.2541569e-09,5.6295743e-08
326,spinning poi,1.2298513e-09,3.4529107e-10
327,spray painting,1.5859823e-09,7.998309e-12
328,spraying,1.1114857e-08,4.5202318e-11
329,springboard diving,6.0173737e-12,3.164732e-11
