,imagenet_class,original_score,perturbated_score
188,wire-haired fox terrier,4.347572e-07,9.07639e-06
189,Lakeland terrier,1.3831599e-08,2.0001765e-07
190,"Sealyham terrier, Sealyham",4.28158e-08,6.924358e-07
191,"Airedale, Airedale terrier",9.64839e-09,6.759225e-08
192,"cairn, cairn terrier",1.246025e-08,1.5864861e-08
193,Australian terrier,6.5610647e-07,1.2776833e-07
194,"Dandie Dinmont, Dandie Dinmont terrier",1.5252008e-08,1.142908e-08
195,"Boston bull, Boston terrier",1.9014243e-06,1.2167163e-05
196,miniature schnauzer,1.3148491e-06,1.5832019e-06
197,giant schnauzer,2.6662997e-07,5.85136e-07
198,standard schnauzer,1.2347931e-06,1.3389999e-06
199,"Scotch terrier, Scottish terrier, Scottie",2.2487841e-08,1.1560143e-06
200,"Tibetan terrier, chrysanthemum dog",5.5385283e-07,2.8206227e-07
201,"silky terrier, Sydney silky",1.7745505e-07,1.5096258e-08
202,soft-coated wheaten terrier,3.800294e-08,9.0486566e-08
203,West Highland white terrier,2.0979e-07,1.6890812e-06
204,"Lhasa, Lhasa apso",8.9610967e-07,1.07666146e-07
205,flat-coated retriever,6.399348e-09,4.1144354e-08
206,curly-coated retriever,1.7197874e-09,2.8506115e-08
207,golden retriever,6.4436856e-09,1.5927169e-08
208,Labrador retriever,1.6022762e-08,5.369594e-08
209,Chesapeake Bay retriever,9.244191e-10,1.764705e-09
210,German short-haired pointer,2.3639661e-09,2.0800486e-09
211,"vizsla, Hungarian pointer",1.9323922e-09,3.7823487e-09
212,English setter,2.168565e-07,2.7411696e-07
213,"Irish setter, red setter",6.2152355e-10,7.3525974e-10
214,Gordon setter,5.75924e-09,1.4186215e-07
215,Brittany spaniel,1.3955317e-07,1.1893099e-07
216,"clumber, clumber spaniel",2.042864e-08,5.564952e-08
217,"English springer, English springer spaniel",7.785329e-07,1.2910286e-06
218,Welsh springer spaniel,4.4571856e-08,6.704296e-08
219,"cocker spaniel, English cocker spaniel, cocker",9.827945e-08,1.3390044e-07
220,Sussex spaniel,1.3489405e-08,1.1378352e-07
221,Irish water spaniel,9.866872e-10,7.901215e-09
222,kuvasz,7.053237e-08,2.7837524e-07
223,schipperke,1.5502389e-08,8.775144e-08
224,groenendael,3.4022307e-08,1.1482016e-07
225,malinois,3.6757406e-09,4.1589434e-08
226,briard,1.898755e-08,1.00905204e-07
227,kelpie,3.838115e-08,2.640666e-07
228,komondor,2.8851164e-09,3.6903638e-09
229,"Old English sheepdog, bobtail",4.6981245e-06,2.5369852e-06
230,"Shetland sheepdog, Shetland sheep dog, Shetland",1.4641621e-06,6.082766e-06
231,collie,3.415758e-06,3.08896e-05
232,Border collie,4.6196083e-06,1.582122e-05
233,"Bouvier des Flandres, Bouviers des Flandres",7.66222e-08,2.5905456e-08
234,Rottweiler,1.4019433e-08,2.1213907e-08
235,"German shepherd, German shepherd dog, German police dog, alsatian",5.3865023e-08,5.0315347e-08
236,"Doberman, Doberman pinscher",6.5750383e-09,1.531557e-07
237,miniature pinscher,7.541037e-09,9.3420184e-08
238,Greater Swiss Mountain dog,1.2191853e-07,8.09917e-07
239,Bernese mountain dog,1.1010226e-06,1.5227073e-06
240,Appenzeller,5.604884e-07,3.4260586e-06
241,EntleBucher,1.1950922e-07,1.4972181e-06
242,boxer,7.415552e-08,8.663338e-08
243,bull mastiff,2.2240522e-08,1.6750338e-08
244,Tibetan mastiff,1.58185e-07,5.4913e-09
245,French bulldog,5.612035e-07,1.1984681e-06
246,Great Dane,9.7664476e-08,1.2588094e-07
247,"Saint Bernard, St Bernard",8.3394093e-07,2.5832097e-07
248,"Eskimo dog, husky",6.2986524e-05,9.69104e-06
249,"malamute, malemute, Alaskan malamute",1.8649469e-05,4.9631412e-06
250,Siberian husky,3.1898562e-05,7.161483e-06
251,"dalmatian, coach dog, carriage dog",2.5554268e-06,3.6005582e-07
252,"affenpinscher, monkey pinscher, monkey dog",1.6998657e-08,1.7799382e-08
253,basenji,6.952981e-07,7.5234084e-06
254,"pug, pug-dog",1.1806661e-06,3.44646e-07
255,Leonberg,3.818253e-09,5.4647606e-09
256,"Newfoundland, Newfoundland dog",1.0290291e-07,3.5998303e-07
257,Great Pyrenees,1.5538618e-07,1.4802874e-06
258,"Samoyed, Samoyede",3.8683154e-07,5.8434384e-06
259,Pomeranian,1.7807213e-07,1.7989472e-06
260,"chow, chow chow",4.2810246e-08,8.149539e-09
261,keeshond,8.1099347e-07,2.5004877e-07
262,Brabancon griffon,1.3911925e-08,3.4536768e-08
263,"Pembroke, Pembroke Welsh corgi",2.2606819e-06,1.5667589e-05
264,"Cardigan, Cardigan Welsh corgi",5.4262337e-06,7.710191e-06
265,toy poodle,2.0458072e-07,6.4100755e-07
266,miniature poodle,9.143576e-09,2.9428504e-08
267,standard poodle,1.8242009e-08,1.3895931e-07
268,Mexican hairless,4.3256234e-09,1.566093e-08
269,"timber wolf, grey wolf, gray wolf, Canis lupus",1.1364143e-07,2.6290144e-07
270,"white wolf, Arctic wolf, Canis lupus tundrarum",1.7895765e-08,7.7160865e-07
271,"red wolf, maned wolf, Canis rufus, Canis niger",4.574167e-09,8.6759e-09
272,"coyote, prairie wolf, brush wolf, Canis latrans",5.4142518e-08,1.5332638e-07
273,"dingo, warrigal, warragal, Canis dingo",3.4120415e-09,4.0800735e-08
274,"dhole, Cuon alpinus",1.4995798e-08,6.1842997e-09
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",5.682564e-09,4.2602646e-09
276,"hyena, hyaena",1.4943605e-08,2.977873e-09
277,"red fox, Vulpes vulpes",1.6124886e-08,2.4776853e-07
278,"kit fox, Vulpes macrotis",1.7211438e-08,2.1041071e-08
279,"Arctic fox, white fox, Alopex lagopus",1.3545935e-06,5.669826e-06
280,"grey fox, gray fox, Urocyon cinereoargenteus",1.7863002e-07,5.2335076e-07
281,"tabby, tabby cat",0.8022037,0.0001449653
282,tiger cat,0.12458584,3.3765296e-05
283,Persian cat,0.0010659388,2.5332292e-05
284,"Siamese cat, Siamese",5.97588e-06,2.5661047e-06
285,Egyptian cat,0.07013991,0.0003510535
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",5.2967886e-07,5.4563586e-08
287,"lynx, catamount",0.00014283242,4.1100743e-06
288,"leopard, Panthera pardus",2.043139e-06,2.0272675e-07
289,"snow leopard, ounce, Panthera uncia",1.2099745e-05,1.4228814e-07
290,"jaguar, panther, Panthera onca, Felis onca",8.264535e-07,6.640182e-08
291,"lion, king of beasts, Panthera leo",1.2903144e-08,8.338727e-09
292,"tiger, Panthera tigris",0.00016383066,2.2454107e-07
293,"cheetah, chetah, Acinonyx jubatus",5.1096233e-08,2.9634037e-08
294,"brown bear, bruin, Ursus arctos",1.695516e-09,1.2800256e-08
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",7.837923e-09,3.1961648e-08
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",5.0348117e-08,9.211795e-07
297,"sloth bear, Melursus ursinus, Ursus ursinus",7.196806e-09,1.7361533e-09
298,mongoose,1.597278e-08,1.3856409e-08
299,"meerkat, mierkat",1.5975395e-07,1.0851016e-07
300,tiger beetle,1.1619558e-10,3.5773964e-09
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1.1785837e-08,1.7989944e-07
302,"ground beetle, carabid beetle",2.3023693e-10,4.3945548e-08
303,"long-horned beetle, longicorn, longicorn beetle",4.548597e-09,4.4032635e-08
304,"leaf beetle, chrysomelid",3.0865924e-10,3.125061e-09
305,dung beetle,2.1652524e-11,2.2389923e-10
306,rhinoceros beetle,4.4504106e-10,3.8756962e-08
307,weevil,1.5525166e-09,3.1217382e-08
308,fly,6.9096515e-09,4.0621617e-07
309,bee,3.0220786e-08,6.427089e-08
310,"ant, emmet, pismire",6.3104383e-10,1.3249445e-08
311,"grasshopper, hopper",1.8266661e-08,2.5077416e-08
