,kinetics_class,original_score,perturbated_score
237,playing kickball,1.8388164e-05,2.9141557e-07
238,playing monopoly,3.7267844e-07,3.079707e-08
239,playing organ,1.1624625e-08,3.3110464e-08
240,playing paintball,8.41507e-06,1.2206055e-08
241,playing piano,1.415916e-06,1.5715159e-07
242,playing poker,3.906415e-07,1.0178767e-06
243,playing recorder,1.1263202e-06,6.91346e-08
244,playing saxophone,3.2406251e-06,1.4628232e-07
245,playing squash or racquetball,1.2066694e-07,1.244243e-06
246,playing tennis,5.2347968e-08,9.299423e-08
247,playing trombone,9.260626e-07,1.6932384e-07
248,playing trumpet,1.0322426e-06,3.5655742e-07
249,playing ukulele,1.9882618e-06,5.706328e-08
250,playing violin,3.856078e-06,9.646271e-08
251,playing volleyball,1.0621441e-06,2.1193765e-08
252,playing xylophone,4.807707e-08,1.860548e-08
253,pole vault,3.599769e-08,9.208079e-09
254,presenting weather forecast,3.7901632e-10,2.6108397e-11
255,pull ups,1.4617728e-05,9.214431e-07
256,pumping fist,0.00036802574,0.00012482186
257,pumping gas,4.6540026e-06,2.064349e-06
258,punching bag,0.9182832,0.00024025765
259,punching person (boxing),0.0048293266,5.0648932e-06
260,push up,1.154895e-05,1.7813427e-06
261,pushing car,6.321607e-06,2.3814844e-06
262,pushing cart,0.00012089611,0.0001867563
263,pushing wheelchair,1.6038579e-05,1.1875306e-05
264,reading book,2.709006e-07,1.1311084e-08
265,reading newspaper,1.5408278e-06,1.3513752e-05
266,recording music,6.871312e-06,1.0832327e-06
267,riding a bike,3.606446e-06,7.9160657e-07
268,riding camel,8.2750915e-08,6.2624006e-10
269,riding elephant,3.854938e-08,5.6735853e-08
270,riding mechanical bull,7.634962e-06,3.9227788e-07
271,riding mountain bike,4.3677336e-08,6.926061e-09
272,riding mule,1.0249835e-08,3.102355e-10
273,riding or walking with horse,7.262845e-07,7.6411215e-09
274,riding scooter,6.568621e-05,0.00031164443
275,riding unicycle,7.772525e-05,2.0449475e-05
276,ripping paper,9.972051e-07,7.573901e-06
277,robot dancing,4.1600906e-05,0.0010973724
278,rock climbing,2.427809e-07,1.6838322e-09
279,rock scissors paper,0.000101863305,3.6770638e-05
280,roller skating,2.1327296e-06,1.1613281e-06
281,running on treadmill,0.000890092,0.00016035364
282,sailing,5.3579857e-08,5.796237e-07
283,salsa dancing,1.2613635e-06,2.7928525e-05
284,sanding floor,3.0517738e-06,5.1647874e-07
285,scrambling eggs,8.2407546e-08,5.2253963e-08
286,scuba diving,8.601512e-09,2.9134273e-09
287,setting table,3.0112253e-07,5.6569007e-08
288,shaking hands,2.6584503e-06,7.816749e-07
289,shaking head,5.4038574e-06,6.568338e-06
290,sharpening knives,9.519916e-09,2.5692293e-08
291,sharpening pencil,1.91769e-06,1.8348672e-08
292,shaving head,6.431055e-06,1.1986093e-05
293,shaving legs,2.4046821e-08,1.6405808e-09
294,shearing sheep,1.0592899e-09,3.5753617e-10
295,shining shoes,2.5061048e-05,1.0730993e-05
296,shooting basketball,0.00037162597,3.61409e-06
297,shooting goal (soccer),9.634208e-06,1.1551672e-05
298,shot put,1.4657056e-08,9.456286e-08
299,shoveling snow,3.3699642e-08,5.531852e-07
300,shredding paper,6.6072e-08,4.3628518e-08
301,shuffling cards,4.9562976e-07,1.1054059e-06
302,side kick,0.022551803,0.00011376905
303,sign language interpreting,1.8377976e-07,5.4165206e-08
304,singing,1.3874853e-06,5.133903e-07
305,situp,0.00045690406,2.1476983e-05
306,skateboarding,1.0791056e-05,0.014309234
307,ski jumping,1.9044647e-07,2.7158512e-07
308,skiing (not slalom or crosscountry),3.2177773e-08,3.6745539e-07
309,skiing crosscountry,3.6879881e-09,1.8822211e-08
310,skiing slalom,7.924569e-09,3.9658863e-09
311,skipping rope,5.2703476e-06,2.1470267e-05
312,skydiving,3.1882956e-07,5.2679166e-08
313,slacklining,5.1745105e-06,1.6196193e-05
314,slapping,6.908361e-05,3.526998e-06
315,sled dog racing,4.845476e-09,1.5616389e-09
316,smoking,9.160128e-08,4.114561e-08
317,smoking hookah,1.5878216e-07,5.4297395e-08
318,snatch weight lifting,6.229945e-05,9.707646e-07
319,sneezing,8.266017e-09,1.6711086e-08
320,sniffing,2.358905e-06,2.1100018e-07
321,snorkeling,3.4269988e-08,1.0604838e-09
322,snowboarding,2.1245587e-06,1.7028528e-05
323,snowkiting,6.16958e-08,1.3372681e-08
324,snowmobiling,1.07280016e-07,1.0229638e-07
325,somersaulting,9.637392e-05,8.843391e-05
326,spinning poi,5.4236166e-06,3.2824705e-06
327,spray painting,5.9078e-07,5.537402e-08
328,spraying,1.7352253e-06,2.3083206e-07
329,springboard diving,1.7279788e-08,4.750215e-08
330,squat,1.0073308e-05,8.736237e-07
331,sticking tongue out,4.1940843e-06,3.6054956e-07
332,stomping grapes,1.6246085e-08,5.7762e-09
333,stretching arm,1.19922e-06,2.156576e-06
334,stretching leg,1.3304021e-05,4.1635212e-05
335,strumming guitar,1.5144742e-07,9.213319e-08
336,surfing crowd,4.6486463e-07,3.7657077e-08
337,surfing water,5.8081757e-09,1.1139413e-09
338,sweeping floor,0.00014314553,7.8487355e-05
339,swimming backstroke,1.587346e-09,1.3835143e-09
340,swimming breast stroke,4.1691156e-10,5.2540004e-11
341,swimming butterfly stroke,3.6249572e-09,1.0262949e-09
342,swing dancing,5.1760327e-07,5.5211793e-05
