,kinetics_class,original_score,perturbated_score
307,ski jumping,3.7593306e-10,0.000121235964
308,skiing (not slalom or crosscountry),8.463111e-10,4.3352986e-05
309,skiing crosscountry,7.115218e-10,5.29819e-05
310,skiing slalom,2.060804e-10,1.5052645e-06
311,skipping rope,1.2344589e-08,0.00032075768
312,skydiving,1.428585e-11,2.8819827e-09
313,slacklining,1.2436534e-06,0.892484
314,slapping,1.4091216e-08,8.237961e-06
315,sled dog racing,1.27153e-09,0.0018203695
316,smoking,1.4009326e-07,1.0743098e-05
317,smoking hookah,5.7877436e-08,9.331638e-06
318,snatch weight lifting,3.3393783e-07,0.0018476673
319,sneezing,9.5917585e-09,0.00093830406
320,sniffing,5.172525e-07,0.00011507678
321,snorkeling,2.7396627e-10,6.9078885e-09
322,snowboarding,1.8249505e-09,0.00024313314
323,snowkiting,1.5684912e-11,2.792295e-06
324,snowmobiling,7.7053156e-12,1.2976223e-05
325,somersaulting,5.420879e-09,0.00012897515
326,spinning poi,2.7357319e-09,1.8444549e-05
327,spray painting,9.269434e-06,4.41773e-06
328,spraying,1.839054e-08,5.1174675e-06
329,springboard diving,6.5079925e-10,2.5533209e-06
330,squat,4.575841e-08,0.00014015805
331,sticking tongue out,1.9757578e-09,7.2132902e-06
332,stomping grapes,4.453749e-08,1.5995602e-05
333,stretching arm,3.0079452e-09,6.2939536e-05
334,stretching leg,2.5218096e-08,0.000101841295
335,strumming guitar,8.8790986e-10,8.169699e-06
336,surfing crowd,1.5226526e-09,1.3170781e-07
337,surfing water,7.0628897e-10,2.9554607e-07
338,sweeping floor,8.4831715e-09,3.7522188e-06
339,swimming backstroke,5.3858428e-11,6.446568e-08
340,swimming breast stroke,5.193535e-10,4.3911495e-08
341,swimming butterfly stroke,1.3768527e-11,9.472815e-08
342,swing dancing,8.0177265e-10,1.2185117e-05
343,swinging legs,7.922613e-09,0.00012855862
344,swinging on something,1.8837498e-09,1.6250649e-06
345,sword fighting,4.500766e-09,1.3569751e-05
346,tai chi,6.781639e-09,4.9990005e-05
347,taking a shower,2.8326763e-08,6.5579056e-06
348,tango dancing,4.6359843e-11,2.2797099e-07
349,tap dancing,7.2359015e-08,0.0013129521
350,tapping guitar,2.6739497e-09,0.00011729019
351,tapping pen,2.7267652e-10,1.3310886e-06
352,tasting beer,0.4489715,1.965231e-05
353,tasting food,1.04126535e-07,4.541755e-07
354,testifying,4.509707e-11,7.619861e-07
355,texting,2.7206624e-09,1.3028382e-06
356,throwing axe,1.28007e-07,9.441717e-06
357,throwing ball,6.0044385e-08,3.9430133e-06
358,throwing discus,1.3114811e-11,2.5361473e-07
359,tickling,6.7440603e-10,2.6833704e-06
360,tobogganing,1.2059092e-11,1.8772345e-06
361,tossing coin,1.3643296e-07,2.0472467e-05
362,tossing salad,1.6519262e-08,1.412914e-06
363,training dog,3.157517e-09,2.7098533e-06
364,trapezing,1.8112946e-09,2.3924082e-05
365,trimming or shaving beard,1.1722126e-06,0.00022239434
366,trimming trees,1.6153654e-08,0.00031195983
367,triple jump,1.0364316e-09,2.8133058e-05
368,tying bow tie,5.022066e-10,8.092339e-07
369,tying knot (not on a tie),4.8530336e-11,9.847225e-07
370,tying tie,3.867407e-10,3.7581725e-07
371,unboxing,1.7533011e-09,1.2829174e-06
372,unloading truck,4.7330244e-07,8.879741e-05
373,using computer,1.433179e-10,4.789493e-07
374,using remote controller (not gaming),1.7528766e-09,1.2210645e-06
375,using segway,1.1923089e-09,1.3137881e-06
376,vault,9.145443e-11,2.6158937e-06
377,waiting in line,7.993742e-09,1.3697266e-06
378,walking the dog,4.6100914e-09,6.614324e-05
379,washing dishes,1.3491743e-07,0.00023532035
380,washing feet,1.989921e-09,2.4245662e-07
381,washing hair,7.117247e-08,1.5551262e-06
382,washing hands,1.1590919e-08,2.8363414e-07
383,water skiing,3.671194e-11,5.3202405e-07
384,water sliding,6.504415e-11,3.4420935e-08
385,watering plants,2.3987379e-09,1.1919491e-05
386,waxing back,3.850576e-09,1.0516341e-06
387,waxing chest,8.329125e-09,5.577415e-07
388,waxing eyebrows,4.4175956e-09,6.205564e-07
389,waxing legs,4.085158e-08,6.4921284e-07
390,weaving basket,9.105376e-11,6.1471187e-06
391,welding,4.193799e-09,1.1404678e-05
392,whistling,9.418476e-10,0.00013020285
393,windsurfing,2.2574782e-10,3.319664e-07
394,wrapping present,3.2465397e-08,2.7655959e-05
395,wrestling,2.1308401e-11,1.4286885e-06
396,writing,2.873903e-10,8.959568e-08
397,yawning,2.3125177e-09,3.5982675e-06
398,yoga,1.4077212e-09,1.2948778e-05
399,zumba,3.9687713e-08,3.255107e-06
