,kinetics_class,original_score,perturbated_score
248,playing trumpet,2.4973081e-12,5.3087645e-10
249,playing ukulele,2.5953634e-12,2.323335e-11
250,playing violin,9.489331e-13,1.7408287e-10
251,playing volleyball,1.6902613e-10,1.7333955e-08
252,playing xylophone,7.1552215e-13,2.9640113e-11
253,pole vault,4.3092288e-12,5.9365646e-12
254,presenting weather forecast,3.0294083e-11,1.0272967e-08
255,pull ups,1.1817596e-12,3.3058098e-12
256,pumping fist,5.5515665e-11,4.536094e-09
257,pumping gas,1.9065966e-12,2.3777927e-10
258,punching bag,4.021181e-12,3.5668746e-11
259,punching person (boxing),3.434575e-12,6.904278e-12
260,push up,6.3805307e-12,6.24269e-10
261,pushing car,1.9720257e-11,3.5836517e-10
262,pushing cart,1.2671183e-11,2.1245034e-10
263,pushing wheelchair,5.1094524e-13,1.3975471e-10
264,reading book,1.6154685e-11,1.07966885e-10
265,reading newspaper,2.296349e-12,1.0936736e-10
266,recording music,3.808443e-11,2.8054639e-09
267,riding a bike,1.3758931e-10,9.6196204e-11
268,riding camel,1.44351345e-11,6.0986166e-13
269,riding elephant,1.020553e-08,2.0411801e-09
270,riding mechanical bull,3.7567947e-14,1.9521752e-12
271,riding mountain bike,2.240607e-11,3.303838e-11
272,riding mule,9.687876e-11,3.7178444e-11
273,riding or walking with horse,3.235035e-10,3.5940428e-10
274,riding scooter,9.325607e-12,1.9192044e-10
275,riding unicycle,9.015001e-11,1.6220428e-10
276,ripping paper,6.810609e-14,1.57253e-11
277,robot dancing,1.9978064e-12,2.7594932e-10
278,rock climbing,2.3678284e-09,9.412963e-11
279,rock scissors paper,2.381276e-12,1.0757448e-10
280,roller skating,3.5188866e-13,5.162711e-11
281,running on treadmill,2.7585588e-12,6.5827725e-11
282,sailing,5.4673173e-09,4.342878e-08
283,salsa dancing,7.1273295e-12,1.3540666e-09
284,sanding floor,2.351719e-13,2.4193343e-12
285,scrambling eggs,5.2041894e-13,3.7159678e-10
286,scuba diving,0.88315463,0.00075013237
287,setting table,2.2831718e-13,4.9347845e-11
288,shaking hands,1.2833439e-11,3.595915e-10
289,shaking head,7.95549e-13,1.5598893e-09
290,sharpening knives,3.416542e-12,5.371811e-11
291,sharpening pencil,1.2116605e-10,9.352134e-11
292,shaving head,1.1181661e-11,2.8616125e-11
293,shaving legs,4.5021825e-10,3.1620084e-09
294,shearing sheep,2.1761644e-12,3.351341e-09
295,shining shoes,2.39979e-14,3.52823e-12
296,shooting basketball,9.099573e-13,3.5937375e-12
297,shooting goal (soccer),4.1912956e-10,5.6526086e-09
298,shot put,4.8572534e-13,5.0787816e-12
299,shoveling snow,7.7105535e-12,1.5032764e-08
300,shredding paper,7.590548e-12,3.2718517e-10
301,shuffling cards,4.1204444e-12,5.0242654e-09
302,side kick,8.039421e-12,2.932863e-10
303,sign language interpreting,3.6624394e-11,1.430687e-09
304,singing,4.661165e-12,4.1860312e-10
305,situp,1.3480153e-10,7.660151e-10
306,skateboarding,4.699479e-12,3.061075e-11
307,ski jumping,1.1800833e-09,2.6423236e-10
308,skiing (not slalom or crosscountry),1.1041583e-09,3.0668579e-09
309,skiing crosscountry,7.0270764e-12,2.755509e-12
310,skiing slalom,7.0582273e-12,8.3814254e-11
311,skipping rope,1.2864397e-14,5.024427e-13
312,skydiving,2.4736442e-11,1.8655797e-09
313,slacklining,6.529418e-10,1.0153743e-09
314,slapping,1.0203301e-10,2.5194552e-08
