,imagenet_class,original_score,perturbated_score
381,"spider monkey, Ateles geoffroyi",1.8223127e-09,1.1329326e-09
382,"squirrel monkey, Saimiri sciureus",1.9960016e-09,1.3569552e-08
383,"Madagascar cat, ring-tailed lemur, Lemur catta",6.9644313e-09,9.779824e-07
384,"indri, indris, Indri indri, Indri brevicaudatus",5.4161307e-09,2.847602e-08
385,"Indian elephant, Elephas maximus",1.1991095e-08,4.144764e-07
386,"African elephant, Loxodonta africana",6.459011e-08,1.3828613e-06
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",1.7284798e-09,3.869137e-09
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",5.7025368e-08,2.0425644e-07
389,"barracouta, snoek",2.6565214e-09,6.04032e-08
390,eel,2.0572074e-08,5.542619e-06
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.716237e-08,6.043596e-07
392,"rock beauty, Holocanthus tricolor",7.7417633e-10,1.974747e-07
393,anemone fish,1.3692347e-09,2.1918021e-08
394,sturgeon,4.759668e-07,1.4959656e-06
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",3.6445786e-09,2.0088063e-07
396,lionfish,1.0131058e-09,1.0617134e-08
397,"puffer, pufferfish, blowfish, globefish",1.0287975e-08,5.9970826e-06
398,abacus,5.7450155e-08,3.7917762e-09
399,abaya,1.9653836e-08,7.1048634e-09
400,"academic gown, academic robe, judge's robe",4.4074175e-09,1.1274723e-09
401,"accordion, piano accordion, squeeze box",8.9850495e-08,2.4152952e-08
402,acoustic guitar,1.12874545e-08,1.2369153e-08
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",2.3161679e-08,5.833537e-11
404,airliner,6.646421e-07,3.4140846e-09
405,"airship, dirigible",9.050409e-08,1.5306673e-08
406,altar,5.674809e-10,3.7859767e-11
407,ambulance,5.274923e-07,4.2129278e-10
408,"amphibian, amphibious vehicle",3.882663e-08,1.1747847e-10
409,analog clock,5.568059e-06,4.8505996e-08
410,"apiary, bee house",4.162604e-09,2.9451225e-10
411,apron,1.08289264e-07,4.3192106e-08
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",5.48939e-07,8.195937e-08
413,"assault rifle, assault gun",1.0488345e-08,1.7041104e-09
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",7.801568e-08,2.6108644e-08
415,"bakery, bakeshop, bakehouse",3.0271046e-08,3.13801e-10
416,"balance beam, beam",1.0607016e-07,2.173464e-08
417,balloon,1.2374945e-06,2.0465137e-08
418,"ballpoint, ballpoint pen, ballpen, Biro",8.7801635e-07,7.2458863e-07
419,Band Aid,1.512864e-07,1.8612346e-07
420,banjo,1.7422266e-08,3.9671435e-09
421,"bannister, banister, balustrade, balusters, handrail",2.994921e-06,2.2634314e-08
422,barbell,1.721042e-07,7.985318e-09
423,barber chair,6.211615e-09,8.1794993e-10
424,barbershop,2.9452346e-08,2.5337677e-08
425,barn,5.0506074e-08,5.552321e-10
426,barometer,1.0046066e-07,4.6117377e-09
427,"barrel, cask",8.5233467e-07,1.9502474e-08
