,imagenet_class,original_score,perturbated_score
217,"English springer, English springer spaniel",3.708822e-08,7.77108e-06
218,Welsh springer spaniel,6.6768506e-09,1.0522472e-06
219,"cocker spaniel, English cocker spaniel, cocker",6.44449e-08,1.6961869e-05
220,Sussex spaniel,4.3607763e-08,9.1386e-06
221,Irish water spaniel,2.1050123e-08,1.1771159e-05
222,kuvasz,3.863073e-08,2.9998093e-06
223,schipperke,4.7965e-07,0.00043503975
224,groenendael,2.6843287e-07,0.00023584047
225,malinois,5.083117e-08,1.5668998e-05
226,briard,1.7076394e-08,7.822095e-06
227,kelpie,1.0849703e-07,2.0120791e-05
228,komondor,3.5626173e-09,8.552001e-07
229,"Old English sheepdog, bobtail",7.971338e-09,4.124168e-06
230,"Shetland sheepdog, Shetland sheep dog, Shetland",3.0139855e-08,1.0924638e-05
231,collie,3.4546556e-08,6.530583e-06
232,Border collie,8.702232e-08,1.4078924e-05
233,"Bouvier des Flandres, Bouviers des Flandres",3.738638e-08,1.7811843e-05
234,Rottweiler,1.0322671e-07,2.1619257e-05
235,"German shepherd, German shepherd dog, German police dog, alsatian",5.1583314e-08,1.1916957e-05
236,"Doberman, Doberman pinscher",1.0325368e-07,1.5682004e-05
237,miniature pinscher,6.3572e-08,5.2348278e-05
238,Greater Swiss Mountain dog,3.096385e-08,9.08022e-06
239,Bernese mountain dog,3.080903e-08,7.154578e-06
240,Appenzeller,7.319786e-08,1.2365208e-05
241,EntleBucher,1.4138324e-07,2.072053e-05
242,boxer,4.8225775e-08,1.9521522e-05
243,bull mastiff,8.683844e-08,9.223917e-06
244,Tibetan mastiff,8.096096e-09,6.4448727e-06
245,French bulldog,5.2838107e-08,2.940045e-05
246,Great Dane,3.8457664e-08,1.5805934e-05
247,"Saint Bernard, St Bernard",6.7635484e-09,3.2702728e-06
248,"Eskimo dog, husky",1.1016915e-07,1.4440204e-05
249,"malamute, malemute, Alaskan malamute",1.1053042e-07,2.3507442e-05
250,Siberian husky,9.7800594e-08,2.925423e-05
251,"dalmatian, coach dog, carriage dog",1.0464431e-07,9.887252e-06
252,"affenpinscher, monkey pinscher, monkey dog",4.6338635e-09,2.5469702e-05
253,basenji,5.3956764e-08,6.5498307e-06
254,"pug, pug-dog",4.392634e-07,0.00083742314
255,Leonberg,1.22473445e-08,3.2900305e-06
256,"Newfoundland, Newfoundland dog",1.6311428e-07,3.3297667e-05
257,Great Pyrenees,4.205027e-08,8.156863e-06
258,"Samoyed, Samoyede",1.2273207e-08,2.5194838e-06
259,Pomeranian,1.8727047e-08,1.4649947e-05
260,"chow, chow chow",6.8230865e-09,9.355575e-06
261,keeshond,1.1763428e-08,5.1103575e-06
262,Brabancon griffon,2.6748669e-08,4.9113947e-05
263,"Pembroke, Pembroke Welsh corgi",8.820259e-08,9.380303e-06
264,"Cardigan, Cardigan Welsh corgi",1.23572e-07,1.4770989e-05
265,toy poodle,4.8828785e-08,0.000106211955
266,miniature poodle,1.301449e-07,3.5954432e-05
267,standard poodle,3.3650643e-08,1.9003204e-05
268,Mexican hairless,2.3838908e-08,7.667094e-06
269,"timber wolf, grey wolf, gray wolf, Canis lupus",2.4546521e-08,7.908746e-06
270,"white wolf, Arctic wolf, Canis lupus tundrarum",1.3199466e-08,2.2386068e-06
271,"red wolf, maned wolf, Canis rufus, Canis niger",3.5952739e-09,1.8819974e-06
272,"coyote, prairie wolf, brush wolf, Canis latrans",2.5085765e-08,3.9876973e-06
273,"dingo, warrigal, warragal, Canis dingo",2.6873587e-07,8.315253e-06
274,"dhole, Cuon alpinus",4.7710746e-09,9.627954e-07
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",7.35031e-09,5.3622296e-07
276,"hyena, hyaena",1.0351709e-08,2.2496972e-06
277,"red fox, Vulpes vulpes",2.4240842e-08,9.38792e-06
278,"kit fox, Vulpes macrotis",2.239317e-08,6.2276167e-06
279,"Arctic fox, white fox, Alopex lagopus",2.962111e-09,3.5854264e-06
280,"grey fox, gray fox, Urocyon cinereoargenteus",3.9452576e-08,2.025902e-05
281,"tabby, tabby cat",2.7553531e-08,7.1869275e-05
282,tiger cat,1.2141006e-08,1.4474134e-05
283,Persian cat,6.825065e-09,3.9745057e-05
284,"Siamese cat, Siamese",1.6299849e-08,0.00016404636
285,Egyptian cat,5.3724165e-08,0.00018910525
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",5.4415125e-08,1.8345208e-05
287,"lynx, catamount",1.11244605e-08,1.2383654e-05
288,"leopard, Panthera pardus",7.1328388e-09,9.585087e-07
289,"snow leopard, ounce, Panthera uncia",1.9969457e-09,4.2024047e-07
290,"jaguar, panther, Panthera onca, Felis onca",6.3893735e-09,1.8676739e-06
291,"lion, king of beasts, Panthera leo",4.120699e-08,1.5529264e-05
