,imagenet_class,original_score,perturbated_score
218,Welsh springer spaniel,3.3797266e-07,4.5367046e-06
219,"cocker spaniel, English cocker spaniel, cocker",4.4984358e-08,1.8891283e-06
220,Sussex spaniel,2.508282e-07,2.9161893e-06
221,Irish water spaniel,8.550036e-07,9.163853e-06
222,kuvasz,1.1843393e-07,2.2670322e-06
223,schipperke,7.9168325e-07,6.229082e-06
224,groenendael,9.3959403e-07,1.1346127e-05
225,malinois,2.4464723e-07,1.8735551e-06
226,briard,2.2632406e-07,2.0015266e-06
227,kelpie,2.0769495e-07,2.519471e-06
228,komondor,2.6851953e-07,2.678497e-06
229,"Old English sheepdog, bobtail",6.2028136e-07,4.9718965e-06
230,"Shetland sheepdog, Shetland sheep dog, Shetland",2.2076651e-07,8.220835e-06
231,collie,2.5988325e-07,2.708499e-06
232,Border collie,1.0111395e-06,6.758046e-06
233,"Bouvier des Flandres, Bouviers des Flandres",4.1554185e-07,4.8855572e-06
234,Rottweiler,1.8400893e-07,1.2050282e-06
235,"German shepherd, German shepherd dog, German police dog, alsatian",9.6364644e-08,2.078301e-06
236,"Doberman, Doberman pinscher",2.8460775e-07,4.7696712e-06
237,miniature pinscher,4.7248867e-07,1.4017533e-05
238,Greater Swiss Mountain dog,1.9296276e-07,3.9015895e-06
239,Bernese mountain dog,2.078063e-07,2.7753858e-06
240,Appenzeller,3.4827966e-07,2.2817642e-06
241,EntleBucher,6.6982693e-07,4.7360795e-06
242,boxer,1.716631e-07,2.033108e-06
243,bull mastiff,7.6975205e-08,8.2760215e-07
244,Tibetan mastiff,2.8804433e-08,5.6499385e-07
245,French bulldog,1.3529811e-07,1.8421085e-06
246,Great Dane,8.7449216e-08,6.190372e-07
247,"Saint Bernard, St Bernard",3.876844e-08,1.0793112e-06
248,"Eskimo dog, husky",2.621347e-07,2.2262368e-06
249,"malamute, malemute, Alaskan malamute",5.4173984e-07,8.491667e-06
250,Siberian husky,9.99896e-07,1.7355609e-05
251,"dalmatian, coach dog, carriage dog",8.509371e-07,1.0756629e-05
252,"affenpinscher, monkey pinscher, monkey dog",5.4126495e-08,2.6264145e-06
253,basenji,9.246583e-07,9.431574e-06
254,"pug, pug-dog",1.8739765e-07,1.2857889e-05
255,Leonberg,6.78554e-08,1.1196047e-06
256,"Newfoundland, Newfoundland dog",4.6945058e-07,3.2914481e-06
