,imagenet_class,original_score,perturbated_score
321,admiral,2.0014603e-07,1.2297613e-08
322,"ringlet, ringlet butterfly",2.0494355e-07,9.441217e-09
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",4.656018e-08,1.211414e-08
324,cabbage butterfly,1.0578637e-05,1.6069173e-07
325,"sulphur butterfly, sulfur butterfly",5.7385414e-08,4.426106e-09
326,"lycaenid, lycaenid butterfly",1.4604665e-06,4.9716874e-08
327,"starfish, sea star",3.2099713e-06,2.6461377e-08
328,sea urchin,1.6577884e-07,7.583033e-09
329,"sea cucumber, holothurian",5.3976667e-08,6.7093335e-09
330,"wood rabbit, cottontail, cottontail rabbit",5.819832e-05,5.1519205e-06
331,hare,9.466766e-05,3.540654e-06
332,"Angora, Angora rabbit",0.0001895948,4.568549e-05
333,hamster,9.4131734e-05,2.4352541e-05
334,"porcupine, hedgehog",1.1452564e-07,4.1833516e-08
335,"fox squirrel, eastern fox squirrel, Sciurus niger",7.788393e-06,7.536482e-07
336,marmot,7.079924e-08,2.6885456e-09
337,beaver,1.5861583e-07,3.5517534e-08
338,"guinea pig, Cavia cobaya",9.2370226e-07,6.485457e-07
339,sorrel,4.2658762e-08,3.0677125e-08
340,zebra,6.0263963e-05,6.9242888e-06
341,"hog, pig, grunter, squealer, Sus scrofa",1.3729695e-06,2.1375001e-07
342,"wild boar, boar, Sus scrofa",1.6121726e-07,3.011637e-09
343,warthog,1.9746885e-08,1.5103108e-09
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",2.1374629e-07,1.5397875e-09
345,ox,5.4722932e-08,4.595142e-09
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1.7659607e-09,8.277284e-11
347,bison,2.5115416e-08,2.5357236e-09
348,"ram, tup",5.205579e-08,1.2250183e-08
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",6.798267e-09,3.0064373e-09
350,"ibex, Capra ibex",1.2734594e-07,2.8674279e-09
351,hartebeest,5.430772e-09,5.1380733e-10
352,"impala, Aepyceros melampus",1.2620981e-07,1.096101e-08
353,gazelle,4.8208267e-07,4.6561706e-08
354,"Arabian camel, dromedary, Camelus dromedarius",8.94787e-09,3.1381127e-09
355,llama,2.117558e-06,2.3589382e-07
356,weasel,1.5669737e-05,4.2236337e-07
357,mink,1.4470303e-05,5.0906e-07
358,"polecat, fitch, foulmart, foumart, Mustela putorius",7.5782136e-06,1.6631055e-06
359,"black-footed ferret, ferret, Mustela nigripes",2.22747e-06,1.3986028e-06
360,otter,6.520426e-07,3.7056576e-08
361,"skunk, polecat, wood pussy",3.1616676e-06,3.5383855e-06
362,badger,6.4542525e-07,1.7727413e-07
363,armadillo,1.1736196e-06,5.892674e-08
364,"three-toed sloth, ai, Bradypus tridactylus",1.1719564e-08,1.3958369e-09
365,"orangutan, orang, orangutang, Pongo pygmaeus",2.8982905e-07,1.743386e-07
