,imagenet_class,original_score,perturbated_score
264,"Cardigan, Cardigan Welsh corgi",1.2769266e-08,6.3152354e-09
265,toy poodle,3.2220797e-09,4.937868e-10
266,miniature poodle,1.8039409e-09,1.8903626e-10
267,standard poodle,6.113721e-09,1.2109107e-09
268,Mexican hairless,4.1281417e-10,1.1768054e-11
269,"timber wolf, grey wolf, gray wolf, Canis lupus",1.6644061e-09,9.2551655e-10
270,"white wolf, Arctic wolf, Canis lupus tundrarum",5.758008e-09,2.445048e-09
271,"red wolf, maned wolf, Canis rufus, Canis niger",1.3167966e-09,2.4682914e-11
272,"coyote, prairie wolf, brush wolf, Canis latrans",1.3244295e-08,1.6056224e-09
273,"dingo, warrigal, warragal, Canis dingo",9.225838e-09,2.3930873e-09
274,"dhole, Cuon alpinus",6.0189687e-10,2.6652219e-11
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",3.1190997e-10,9.77566e-11
276,"hyena, hyaena",1.5233567e-08,1.4020044e-09
277,"red fox, Vulpes vulpes",2.3433651e-08,2.7423641e-09
278,"kit fox, Vulpes macrotis",2.3853526e-09,1.1804163e-10
279,"Arctic fox, white fox, Alopex lagopus",7.4057773e-09,2.7128095e-09
280,"grey fox, gray fox, Urocyon cinereoargenteus",8.492661e-09,1.1237051e-09
281,"tabby, tabby cat",1.0409673e-08,1.3607729e-09
282,tiger cat,2.9367056e-08,2.008267e-09
283,Persian cat,5.7281793e-09,1.5819784e-09
284,"Siamese cat, Siamese",1.3210631e-09,1.5573443e-10
285,Egyptian cat,8.418602e-09,9.461806e-10
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",4.471723e-10,1.1637083e-10
287,"lynx, catamount",3.8624854e-09,3.228256e-10
288,"leopard, Panthera pardus",4.234706e-09,3.2052846e-10
289,"snow leopard, ounce, Panthera uncia",1.7718997e-09,1.6230835e-10
290,"jaguar, panther, Panthera onca, Felis onca",3.1882792e-09,1.0168782e-10
291,"lion, king of beasts, Panthera leo",1.4890905e-08,1.337001e-09
292,"tiger, Panthera tigris",8.219775e-09,1.3231368e-09
293,"cheetah, chetah, Acinonyx jubatus",2.4717315e-09,5.6495548e-11
294,"brown bear, bruin, Ursus arctos",1.2164409e-08,4.681473e-08
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",2.3120554e-09,1.7387762e-09
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0871129e-08,3.417528e-08
297,"sloth bear, Melursus ursinus, Ursus ursinus",6.218684e-10,1.8561383e-10
298,mongoose,2.2563869e-09,1.9302442e-10
299,"meerkat, mierkat",7.1283557e-10,5.2996482e-11
300,tiger beetle,2.3189528e-10,1.6869567e-11
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",2.411327e-08,7.288991e-09
