,imagenet_class,original_score,perturbated_score
182,Border terrier,6.985196e-06,2.3102609e-07
183,Kerry blue terrier,4.647243e-07,1.9962709e-08
184,Irish terrier,4.658381e-05,1.6532196e-07
185,Norfolk terrier,1.2193824e-05,9.578205e-07
186,Norwich terrier,5.970013e-07,6.8266246e-08
187,Yorkshire terrier,2.1733829e-08,3.3396943e-09
188,wire-haired fox terrier,1.2096548e-06,1.8092162e-07
189,Lakeland terrier,3.1774607e-07,2.541584e-08
190,"Sealyham terrier, Sealyham",5.3108273e-05,2.6410075e-06
191,"Airedale, Airedale terrier",4.857304e-07,3.8142268e-08
192,"cairn, cairn terrier",1.334555e-06,1.6867111e-07
193,Australian terrier,7.479138e-07,3.9042018e-08
194,"Dandie Dinmont, Dandie Dinmont terrier",3.3664355e-06,7.0513764e-08
195,"Boston bull, Boston terrier",4.4100875e-07,1.8473724e-08
196,miniature schnauzer,2.5820134e-07,2.4896979e-08
197,giant schnauzer,2.8334987e-06,7.768147e-09
198,standard schnauzer,3.5919842e-07,9.668721e-09
199,"Scotch terrier, Scottish terrier, Scottie",4.6709926e-07,6.47041e-08
200,"Tibetan terrier, chrysanthemum dog",0.00017065083,4.999128e-07
201,"silky terrier, Sydney silky",2.5627815e-08,4.1322155e-09
202,soft-coated wheaten terrier,4.9155733e-05,1.1796322e-06
203,West Highland white terrier,1.0887445e-05,1.4605164e-05
204,"Lhasa, Lhasa apso",9.903398e-06,1.240496e-07
205,flat-coated retriever,0.00011152145,3.187382e-07
206,curly-coated retriever,3.0249708e-05,1.35868214e-08
207,golden retriever,0.023604434,4.5644207e-05
208,Labrador retriever,0.003112481,1.5650863e-05
209,Chesapeake Bay retriever,4.8245725e-05,3.289305e-08
210,German short-haired pointer,2.4284634e-07,1.1405187e-09
211,"vizsla, Hungarian pointer",9.3578876e-07,8.903622e-10
212,English setter,0.00069341954,7.604056e-07
213,"Irish setter, red setter",1.8563389e-06,1.38117375e-08
214,Gordon setter,3.556182e-05,4.596345e-08
215,Brittany spaniel,6.2967934e-05,1.9917298e-08
216,"clumber, clumber spaniel",0.00045557084,3.0587807e-07
217,"English springer, English springer spaniel",1.11420395e-05,1.6211972e-07
218,Welsh springer spaniel,1.2415408e-06,1.6980824e-08
219,"cocker spaniel, English cocker spaniel, cocker",1.5902668e-05,1.0239951e-06
220,Sussex spaniel,1.2526616e-05,1.25892905e-08
221,Irish water spaniel,2.0881406e-07,1.019344e-09
222,kuvasz,0.8234252,0.0010852105
223,schipperke,1.5035156e-06,2.0173227e-08
224,groenendael,4.568861e-06,9.695264e-08
225,malinois,5.262838e-07,2.0842515e-08
226,briard,4.7602202e-06,2.529097e-07
227,kelpie,7.605685e-06,9.960758e-08
228,komondor,5.5243227e-06,6.2841673e-06
229,"Old English sheepdog, bobtail",0.0015878665,1.8983728e-05
230,"Shetland sheepdog, Shetland sheep dog, Shetland",5.21786e-07,2.3466523e-08
231,collie,0.0002787817,1.7571676e-06
232,Border collie,0.0006407147,3.5303533e-06
233,"Bouvier des Flandres, Bouviers des Flandres",1.3625597e-06,4.0491077e-09
234,Rottweiler,3.4535458e-06,1.1821537e-08
235,"German shepherd, German shepherd dog, German police dog, alsatian",5.786573e-05,5.524166e-07
236,"Doberman, Doberman pinscher",1.9024152e-06,1.4909403e-08
237,miniature pinscher,6.4676007e-09,4.4188266e-09
238,Greater Swiss Mountain dog,5.4012355e-05,2.7869154e-08
239,Bernese mountain dog,2.8384145e-05,2.5851017e-08
240,Appenzeller,1.6429442e-05,1.4897266e-08
241,EntleBucher,7.7651e-06,2.8795581e-08
242,boxer,7.23796e-06,3.7823003e-08
243,bull mastiff,6.737114e-06,2.1848104e-08
244,Tibetan mastiff,7.65434e-05,1.2573459e-07
245,French bulldog,6.183614e-08,2.906724e-08
246,Great Dane,1.5896072e-05,9.707791e-08
247,"Saint Bernard, St Bernard",0.00014000214,1.0546957e-07
248,"Eskimo dog, husky",6.7423876e-05,9.876921e-06
249,"malamute, malemute, Alaskan malamute",1.3577402e-05,6.8966883e-06
250,Siberian husky,6.755753e-06,3.244906e-06
251,"dalmatian, coach dog, carriage dog",0.00024007974,1.4088162e-05
252,"affenpinscher, monkey pinscher, monkey dog",5.0239933e-08,2.976271e-10
253,basenji,3.2673123e-07,1.2950722e-08
254,"pug, pug-dog",2.0249831e-06,3.8514318e-07
255,Leonberg,0.00013019366,6.332639e-08
256,"Newfoundland, Newfoundland dog",0.00035748826,3.0560747e-07
257,Great Pyrenees,0.14124137,0.0006062619
258,"Samoyed, Samoyede",0.00028367512,0.00017064609
259,Pomeranian,3.2090037e-07,3.3330065e-07
260,"chow, chow chow",5.4373995e-06,5.5195426e-07
261,keeshond,1.5706846e-07,4.9968754e-08
262,Brabancon griffon,1.949426e-07,2.3269198e-09
263,"Pembroke, Pembroke Welsh corgi",3.6003627e-07,1.438362e-08
264,"Cardigan, Cardigan Welsh corgi",4.0567024e-06,2.9996453e-08
265,toy poodle,1.7641275e-06,4.975689e-07
266,miniature poodle,3.1007203e-06,1.9158381e-07
267,standard poodle,4.4495875e-05,4.303359e-06
268,Mexican hairless,1.0798003e-08,3.764557e-09
269,"timber wolf, grey wolf, gray wolf, Canis lupus",4.9970295e-06,4.2205756e-06
270,"white wolf, Arctic wolf, Canis lupus tundrarum",0.00016000844,0.00037263863
271,"red wolf, maned wolf, Canis rufus, Canis niger",2.2508408e-08,2.9082587e-09
272,"coyote, prairie wolf, brush wolf, Canis latrans",1.4985334e-07,8.771877e-09
273,"dingo, warrigal, warragal, Canis dingo",3.9989272e-06,7.784704e-08
274,"dhole, Cuon alpinus",2.500103e-08,6.566346e-10
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1.7568762e-08,5.9640104e-10
276,"hyena, hyaena",1.147109e-08,8.9438625e-09
277,"red fox, Vulpes vulpes",3.75055e-09,3.7228636e-09
278,"kit fox, Vulpes macrotis",1.2430412e-09,8.1164936e-10
279,"Arctic fox, white fox, Alopex lagopus",3.5019982e-06,3.8348513e-05
280,"grey fox, gray fox, Urocyon cinereoargenteus",3.9464227e-09,4.6208144e-09
281,"tabby, tabby cat",4.0135197e-09,2.5757192e-09
282,tiger cat,1.1716339e-08,9.980341e-09
283,Persian cat,2.8868309e-08,1.5013283e-07
284,"Siamese cat, Siamese",2.4353177e-08,1.8520763e-07
285,Egyptian cat,1.6195076e-08,3.1242642e-08
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.9204038e-09,5.6002047e-09
287,"lynx, catamount",4.05177e-09,4.325333e-09
288,"leopard, Panthera pardus",1.3176797e-09,1.5322755e-09
289,"snow leopard, ounce, Panthera uncia",9.793514e-09,2.1289463e-08
290,"jaguar, panther, Panthera onca, Felis onca",4.8814983e-09,1.892635e-09
291,"lion, king of beasts, Panthera leo",3.5086977e-08,3.4080088e-08
292,"tiger, Panthera tigris",6.444749e-08,3.597982e-08
293,"cheetah, chetah, Acinonyx jubatus",4.7141775e-09,6.686644e-09
294,"brown bear, bruin, Ursus arctos",4.42761e-07,1.3453644e-06
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",7.317968e-09,3.0440004e-09
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.00051595474,0.9973417
297,"sloth bear, Melursus ursinus, Ursus ursinus",7.592366e-08,6.019386e-08
298,mongoose,8.3776985e-09,3.0571456e-08
299,"meerkat, mierkat",4.6582272e-08,1.8069349e-07
300,tiger beetle,3.2672828e-10,2.2590325e-11
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1.8559353e-08,1.357705e-09
302,"ground beetle, carabid beetle",1.3897602e-09,3.4330316e-10
303,"long-horned beetle, longicorn, longicorn beetle",2.96487e-09,1.7924509e-09
304,"leaf beetle, chrysomelid",6.635021e-09,3.0020753e-10
305,dung beetle,1.8046068e-09,1.7363015e-10
306,rhinoceros beetle,6.4525065e-09,3.0381941e-09
307,weevil,1.10617275e-08,3.2244274e-09
308,fly,8.892938e-10,1.4230879e-09
309,bee,9.937589e-10,1.7093541e-09
310,"ant, emmet, pismire",3.1988762e-08,8.51365e-08
311,"grasshopper, hopper",1.5854164e-09,4.5720483e-11
312,cricket,1.1599817e-09,5.5643497e-11
313,"walking stick, walkingstick, stick insect",2.4814977e-09,6.641072e-11
314,"cockroach, roach",4.715104e-09,2.860265e-10
315,"mantis, mantid",2.6859754e-09,3.44566e-10
316,"cicada, cicala",1.6577162e-09,1.0816106e-09
317,leafhopper,1.5765846e-08,3.2982306e-09
318,"lacewing, lacewing fly",7.896022e-10,6.065584e-10
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",1.2042454e-09,1.2129602e-09
320,damselfly,7.454361e-10,2.4598967e-10
321,admiral,1.6120056e-09,5.3754372e-11
322,"ringlet, ringlet butterfly",1.480337e-10,2.1160827e-10
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",2.0294653e-09,1.8459644e-11
324,cabbage butterfly,1.6670858e-09,1.184291e-08
325,"sulphur butterfly, sulfur butterfly",1.6898668e-09,5.692028e-10
326,"lycaenid, lycaenid butterfly",5.123178e-09,2.9506277e-09
327,"starfish, sea star",8.019564e-08,2.199243e-08
328,sea urchin,2.8696313e-08,3.1007556e-08
329,"sea cucumber, holothurian",5.4179186e-09,1.1721573e-09
330,"wood rabbit, cottontail, cottontail rabbit",1.4536781e-09,2.1620672e-09
331,hare,3.4724398e-08,5.179958e-08
332,"Angora, Angora rabbit",8.440174e-08,5.3121102e-08
333,hamster,5.101384e-09,2.4896374e-07
334,"porcupine, hedgehog",2.292372e-09,1.7218264e-07
335,"fox squirrel, eastern fox squirrel, Sciurus niger",1.7486235e-10,1.9131374e-09
336,marmot,1.0089083e-08,3.7972992e-08
337,beaver,4.4242142e-08,2.7855044e-06
338,"guinea pig, Cavia cobaya",3.7556396e-07,1.6337418e-06
339,sorrel,1.1863761e-09,9.609457e-11
340,zebra,3.7714605e-09,6.3763044e-09
341,"hog, pig, grunter, squealer, Sus scrofa",3.4496782e-08,1.965494e-08
342,"wild boar, boar, Sus scrofa",3.1749008e-09,5.3166285e-09
343,warthog,1.1361666e-09,7.545838e-09
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",2.9347566e-10,2.1324689e-09
345,ox,3.2730662e-07,4.1842918e-07
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1.5002156e-08,5.482606e-08
347,bison,1.0700005e-08,1.1935857e-09
